year,rank,title,singer,sales,release_date
2022,61,4th Album Repackage ''SECTOR 17'' (Weverse),세븐틴,228380,2022.07.18
2022,62,3RD ALBUM ''An Ode'',세븐틴,226071,2019.09.16
2022,63,4th Album ''Face the Sun'' (Weverse),세븐틴,223341,2022.05.27
2022,64,NEW WAVE,CRAVITY,221418,2022.09.27
2022,65,LOVE YOURSELF 結 ''Answer'',방탄소년단,215404,2018.08.24
2022,66,Grey Suit - The 2nd Mini Album,수호 (SUHO),211013,2022.04.04
2022,67,6th Single Album ''CHASE EPISODE 2. MAUM'',DKZ,208671,2022.04.12
2022,68,Universe - The 3rd Album,NCT,207921,2021.12.14
2022,69,9th Mini Album ''Attacca'',세븐틴,206821,2021.10.22
2022,70,''The ReVe Festival'' Finale,레드벨벳(Red Velvet),204965,2019.12.23
2022,71,MALUS,원어스(ONEUS),199237,2022.09.05
2022,72,Sequence,우주소녀,196468,2022.07.05
2022,73,HOLIDAY,위너(WINNER),196179,2022.07.05
2022,74,Indigo (Weverse),RM,195069,2022.12.02
2022,75,VOYAGER,기현 (몬스타엑스),194166,2022.03.15
2022,76,INVU - The 3rd Album,태연 (TAEYEON),193154,2022.02.14
2022,77,The Road : Winter for Spring,슈퍼주니어 (Super Junior),190869,2022.02.28
2022,78,SPIN OFF : FROM THE WITNESS (POCA),ATEEZ (에이티즈),189734,2022.12.30
2022,79,THE WAVE OF9,SF9 (에스에프나인),182841,2022.07.13
2022,80,Savage - The 1st Mini Album,aespa,181506,2021.10.05
2022,81,The Road : Keep on Going - The 11th Album Vol.1,슈퍼주니어 (Super Junior),178561,2022.07.12
2022,82,Brand New - The 1st Mini Album,시우민 (XIUMIN),177439,2022.09.26
2022,83,ELEVEN,IVE (아이브),175911,2021.12.01
2022,84,MANIFESTO : DAY 1 (Weverse),ENHYPEN,169798,2022.07.04
2022,85,Candy - Winter Special Mini Album (SMC),NCT DREAM,169270,2022.12.16
2022,86,7th Mini Album ''헹가래'',세븐틴,168593,2020.06.22
2022,87,Butter,방탄소년단,166988,2021.05.21
2022,88,The Road : Celebration - The 11th Album Vol.2,슈퍼주니어 (Super Junior),164426,2022.12.15
2022,89,2022 Winter SMTOWN : SMCU PALACE,SMTOWN,161469,2022.12.26
2022,90,YOUTH,기현 (몬스타엑스),161066,2022.10.24
2022,91,7th Single Album ''CHASE EPISODE 3. BEUM'',DKZ,158704,2022.10.06
2022,92,from our Memento Box,프로미스나인 (fromis_9),158682,2022.06.27
2022,93,The Story,강다니엘,157019,2022.05.24
2022,94,Summer Special [Flip That],이달의 소녀,156907,2022.06.20
2022,95,1ST ALBUM PART 2 [LIBERTY : IN OUR COSMOS],CRAVITY,156719,2022.03.22
2022,96,혼돈의 장: FREEZE,투모로우바이투게더,152900,2021.05.31
2022,97,The Story (META),강다니엘,149807,2022.05.24
2022,98,REFUGE,문빈&산하,147056,2022.03.15
2022,99,Love Pt.2 : Passion,위아이 (WEi),146044,2022.10.19
2022,100,7TH MINI ALBUM [BE AWARE] (META),더보이즈(THE BOYZ),144734,2022.08.16
