index,date,jyp_drc,jyp_cs,sm_drc,sm_cs,yg_drc,yg_cs
0,2018-11-02,,,,,,
1,2018-11-05,-3.278688524590164,-3.278688524590164,1.6563146997929608,1.6563146997929608,-3.7283621837549936,-3.7283621837549936
2,2018-11-06,-0.9933774834437087,-4.272066008033873,-2.0063357972544877,-0.350021097461527,-1.8995929443690638,-5.627955128124057
3,2018-11-07,-3.2478632478632483,-7.519929255897122,-1.827956989247312,-2.1779780867088387,-3.8028169014084505,-9.430772029532507
4,2018-11-08,-1.9163763066202089,-9.43630556251733,-1.8619934282584885,-4.039971514967327,0.5602240896358543,-8.870547939896653
5,2018-11-09,3.5294117647058822,-5.906893797811447,2.1436227224008575,-1.8963487925664695,1.3812154696132597,-7.489332470283394
6,2018-11-12,4.186795491143317,-1.7200983066681301,0.10706638115631692,-1.7892824114101527,5.359477124183006,-2.1298553461003875
7,2018-11-13,-0.8116883116883116,-2.531786618356442,-0.43010752688172044,-2.219389938291873,4.0150564617314926,1.885201115631105
8,2018-11-14,5.521472392638037,2.989685774281595,6.813627254509018,4.594237316217145,3.5108958837772395,5.3960969994083445
9,2018-11-15,5.232558139534884,8.22224391381648,7.24907063197026,11.843307948187405,2.3640661938534278,7.760163193261772
